start,end,cost,layer,path
"104.14793176, 51.5230653737","104.140059008, 51.5233561347",548.065420402816,Кратчайший путь,"LineString?crs=EPSG:4326&field=start:string(0,0)&field=end:string(0,0)&field=cost:double(0,0)&uid={660c98f8-f9f0-4208-b68a-87b0639ce615}"
"104.132918801, 51.5204680879","104.138867571, 51.5194058168",477.823204701569,Кратчайший путь,"LineString?crs=EPSG:4326&field=start:string(0,0)&field=end:string(0,0)&field=cost:double(0,0)&uid={14db6d89-526d-43eb-847f-ab743f985f39}"
"104.141635664, 51.5092979398","104.142048247, 51.5091760971",31.0618070908062,Кратчайший путь,"LineString?crs=EPSG:4326&field=start:string(0,0)&field=end:string(0,0)&field=cost:double(0,0)&uid={f014119a-e507-4c52-bbc3-80915ae87857}"
"104.153733179, 51.5230902587","104.14792755, 51.523053586",402.977633005975,Кратчайший путь,"LineString?crs=EPSG:4326&field=start:string(0,0)&field=end:string(0,0)&field=cost:double(0,0)&uid={31e15c3a-ad9c-4c53-951c-8abe801a9248}"
"104.141400955, 51.5137364596","104.13762035, 51.5157214044",342.285017412897,Кратчайший путь,"LineString?crs=EPSG:4326&field=start:string(0,0)&field=end:string(0,0)&field=cost:double(0,0)&uid={1a9eae01-4847-44c6-a2c8-d5c83b1c8a95}"
"104.140050588, 51.5233482764","104.134375471, 51.5236547523",395.449720846385,Кратчайший путь,"LineString?crs=EPSG:4326&field=start:string(0,0)&field=end:string(0,0)&field=cost:double(0,0)&uid={efe9b113-bbd3-46fd-94e2-75b77a81f52e}"
"104.134392311, 51.5236639203","104.132927221, 51.5204864252",402.102511684642,Кратчайший путь,"LineString?crs=EPSG:4326&field=start:string(0,0)&field=end:string(0,0)&field=cost:double(0,0)&uid={07a5c381-e905-4d9b-a968-c4517299ea54}"
"104.140602102, 51.5141510749","104.141637769, 51.5092894239",718.05124604033,Кратчайший путь,"LineString?crs=EPSG:4326&field=start:string(0,0)&field=end:string(0,0)&field=cost:double(0,0)&uid={1e54154b-7632-453b-b5bf-918734d026db}"
"104.138880201, 51.5194156407","104.137781383, 51.5156116959",665.018426349816,Кратчайший путь,"LineString?crs=EPSG:4326&field=start:string(0,0)&field=end:string(0,0)&field=cost:double(0,0)&uid={4b130c3d-a2c1-4710-bd76-1e9300b670f3}"
"104.142027196, 51.5091983694","104.141408322, 51.5137508696",616.358138731135,Кратчайший путь,"LineString?crs=EPSG:4326&field=start:string(0,0)&field=end:string(0,0)&field=cost:double(0,0)&uid={f9110313-2e52-44e1-9c72-9481b222d68e}"
"104.137785593, 51.5156182457","104.140614732, 51.5141366649",256.496924435839,Кратчайший путь,"LineString?crs=EPSG:4326&field=start:string(0,0)&field=end:string(0,0)&field=cost:double(0,0)&uid={eb2c1fcc-6c31-464b-8f59-e0261b744e06}"
"104.137618245, 51.5157069949","104.122083242, 51.5131171496",1572.14161744851,Кратчайший путь,"LineString?crs=EPSG:4326&field=start:string(0,0)&field=end:string(0,0)&field=cost:double(0,0)&uid={5887864e-8f2a-42e0-a82f-54af5b45e608}"
